name,integer_ops,flops,FAdd,FMul,memory_ops,loads,stores,branch_ops,uncond_branch_ops,cond_branch_ops,comparison,cpu_ops,total_ops,vector_ops
2mm_N64,12140944,1314816,524288,790528,9274257,8200836,1073421,1614469,1073538,540930,540930,3162112,24344486,0
2mm_N128,96797456,10502144,4194304,6307840,73795345,65307908,8487437,12748037,8487682,4260354,4260354,25231360,193842982,0
2mm_N256,773064208,83951616,33554432,50397184,588779025,521275908,67503117,101321221,67503618,33817602,33817602,201588736,1547116070,0
2mm_N300,1243801816,135090000,54000000,81090000,947164217,838623004,108541213,162903005,108541802,54361202,54361202,324360000,2488959038,0
2mm_N400,2947202416,320160000,128000000,192160000,2243845617,1986884004,256961613,385604005,256962402,128641602,128641602,768640000,5896812038,0
2mm_N512,6179261456,671350784,268435456,402915328,4703919121,4165473284,538445837,807932933,538446850,269486082,269486082,1611661312,12362464294,0
2mm_N600,9943203616,1080360000,432000000,648360000,7568648417,6702486004,866162413,1299606005,866163602,433442402,433442402,2593440000,19891818038,0
2mm_N700,15787804216,1715490000,686000000,1029490000,12016769817,10641827004,1374942813,2062907005,1374944202,687962802,687962802,4117960000,31582971038,0
2mm_N800,23564804816,2560640000,1024000000,1536640000,17935371217,15883528004,2051843213,3078408005,2051844802,1026563202,1026563202,6146560000,47139224038,0
2mm_N900,33550205416,3645810000,1458000000,2187810000,25534452617,22613589004,2920863613,4382109005,2920865402,1461243602,1461243602,8751240000,67112577038,0
2mm_N1024,49413101584,5369757696,2147483648,3222274048,37606144017,33304881156,4301262861,6452946949,4301264898,2151682050,2151682050,12889096192,98841950246,0
2mm_N1100,61250206616,6656210000,2662000000,3994210000,46614055417,41282791004,5331264413,7998111005,5331266602,2666844402,2666844402,15976840000,122518583038,0
2mm_N1200,79516807216,8641440000,3456000000,5185440000,60514576817,53593932004,6920644813,10382412005,6920647202,3461764802,3461764802,20741760000,159055236038,0
2mm_N1300,101095807816,10986690000,4394000000,6592690000,76935578217,68137433004,8798145213,13198913005,8798147802,4400765202,4400765202,26370760000,202216989038,0
2mm_N1400,126263208416,13721960000,5488000000,8233960000,96087059617,85099294004,10987765613,16483614005,10987768402,5495845602,5495845602,32935840000,252555842038,0
2mm_N1500,155295009016,16877250000,6750000000,10127250000,118179021017,104665515004,13513506013,20272515005,13513509002,6759006002,6759006002,40509000000,310623795038,0
2mm_N1600,188467209616,20482560000,8192000000,12290560000,143421462417,127022096004,16399366413,24601616005,16399369602,8202246402,8202246402,49162240000,376972848038,0
2mm_N1700,226055810216,24567890000,9826000000,14741890000,172024383817,152355037004,19669346813,29506917005,19669350202,9837566802,9837566802,58967560000,452155001038,0
2mm_N1800,268336810816,29163240000,11664000000,17499240000,204197785217,180850338004,23347447213,35024418005,23347450802,11676967202,11676967202,69996960000,536722254038,0
2mm_N1900,315586211416,34298610000,13718000000,20580610000,240151666617,212693999004,27457667613,41190119005,27457671402,13732447602,13732447602,82322440000,631226607038,0
2mm_N2000,368080012016,40004000000,16000000000,24004000000,280096028017,248072020004,32024008013,48040020005,32024012002,16016008002,16016008002,96016000000,736220060038,0
2mm_N2100,426094212616,46309410000,18522000000,27787410000,324240869417,287170401004,37070468413,55610121005,37070472602,18539648402,18539648402,111149640000,852254613038,0
2mm_N2200,489904813216,53244840000,21296000000,31948840000,372796190817,330175142004,42621048813,63936422005,42621053202,21315368802,21315368802,127795360000,979882266038,0
2mm_N2300,559787813816,60840290000,24334000000,36506290000,425971992217,377272243004,48699749213,73054923005,48699753802,24355169202,24355169202,146025160000,1119655019038,0
2mm_N2400,636019214416,69125760000,27648000000,41477760000,483978273617,428647704004,55330569613,83001624005,55330574402,27671049602,27671049602,165911040000,1272124872038,0
3mm_N64,18211410,1572864,786432,786432,13505877,11895750,1610127,2421703,1610307,811395,811395,4743168,35711854,0
3mm_N128,145196178,12582912,6291456,6291456,107498133,94766982,12731151,19122055,12731523,6390531,6390531,37847040,284399278,0
3mm_N256,1159596306,100663296,50331648,50331648,857806101,756551430,101254671,151981831,101255427,50726403,50726403,302383104,2270047534,0
3mm_N300,1865702718,162000000,81000000,81000000,1379976321,1217164506,162811815,244354507,162812703,81541803,81541803,486540000,3652033546,0
3mm_N400,4420803618,384000000,192000000,192000000,3269288421,2883846006,385442415,578406007,385443603,192962403,192962403,1152960000,8652498046,0
3mm_N512,9268892178,805306368,402653184,402653184,6853765653,6046096902,807668751,1211899399,807670275,404229123,404229123,2417491968,18139863598,0
3mm_N600,14914805418,1296000000,648000000,648000000,11027892621,9728649006,1299243615,1949409007,1299245403,650163603,650163603,3890160000,29188107046,0
3mm_N700,23681706318,2058000000,1029000000,1029000000,17509184721,15446770506,2062414215,3094360507,2062416303,1031944203,1031944203,6176940000,46343251546,0
3mm_N800,35347207218,3072000000,1536000000,1536000000,26133136821,23055372006,3077764815,4617612007,3077767203,1539844803,1539844803,9219840000,69169956046,0
3mm_N900,50325308118,4374000000,2187000000,2187000000,37205748921,32824453506,4381295415,6573163507,4381298103,2191865403,2191865403,13126860000,98478220546,0
3mm_N1024,74119652370,6442450944,3221225472,3221225472,54795457557,48343563270,6451894287,9679420423,6451897347,3227523075,3227523075,19333644288,145036981294,0
3mm_N1100,91875309918,7986000000,3993000000,3993000000,67920953121,59924056506,7996896615,11997166507,7996899903,4000266603,4000266603,23965260000,179779429546,0
3mm_N1200,119275210818,10368000000,5184000000,5184000000,88175545221,77794578006,10380967215,15573618007,10380970803,5192647203,5192647203,31112640000,233392374046,0
3mm_N1300,151643711718,13182000000,6591000000,6591000000,112102797321,98905579506,13197217815,19798369507,13197221703,6601147803,6601147803,39556140000,296726878546,0
3mm_N1400,189394812618,16464000000,8232000000,8232000000,140008709421,123527061006,16481648415,24725421007,16481652603,8243768403,8243768403,49403760000,370592943046,0
3mm_N1500,232942513518,20250000000,10125000000,10125000000,172199281521,151929022506,20270259015,30408772507,20270263503,10138509003,10138509003,60763500000,455800567546,0
3mm_N1600,282700814418,24576000000,12288000000,12288000000,208980513621,184381464006,24599049615,36902424007,24599054403,12303369603,12303369603,73743360000,553159752046,0
3mm_N1700,339083715318,29478000000,14739000000,14739000000,250658405721,221154385506,29504020215,44260375507,29504025303,14756350203,14756350203,88451340000,663480496546,0
3mm_N1800,402505216218,34992000000,17496000000,17496000000,297538957821,262517787006,35021170815,52536627007,35021176203,17515450803,17515450803,104995440000,787572801046,0
3mm_N1900,473379317118,41154000000,20577000000,20577000000,349928169921,308741668506,41186501415,61785178507,41186507103,20598671403,20598671403,123483660000,926246665546,0
3mm_N2000,552120018018,48000000000,24000000000,24000000000,408132042021,360096030006,48036012015,72060030007,48036018003,24024012003,24024012003,144024000000,1080312090046,0
3mm_N2100,639141318918,55566000000,27783000000,27783000000,472456574121,416850871506,55605702615,83415181507,55605708903,27809472603,27809472603,166724460000,1250579074546,0
3mm_N2200,734857219818,63888000000,31944000000,31944000000,543207766221,479276193006,63931573215,95904633007,63931579803,31973053203,31973053203,191693040000,1437857619046,0
3mm_N2300,839681720718,73002000000,36501000000,36501000000,620691618321,547641994506,73049623815,109582384507,73049630703,36532753803,36532753803,219037740000,1642957723546,0
3mm_N2400,954028821618,82944000000,41472000000,41472000000,705214130421,622218276006,82995854415,124502436007,82995861603,41506574403,41506574403,248866560000,1866689388046,0
adi_N1_128,3995143,292096,0,97280,2373641,2210050,163591,197635,131584,66050,66050,974336,6858515,36608
adi_N1_256,16051207,1174016,0,391168,9531401,8876546,654855,788483,525312,263170,263170,3914752,27545107,146944
adi_N1_300,22057207,1613400,0,537600,13096809,12197402,899407,1082403,721200,361202,361202,5379600,37849819,201899
adi_N1_400,39249607,2871200,0,956800,23302409,21703202,1599207,1923203,1281600,641602,641602,9572800,67346419,359200
adi_N1_512,64346119,4707328,0,1568768,38199305,35578882,2620423,3149827,2099200,1050626,1050626,15693824,110402579,588800
adi_N1_600,88394407,6466800,0,2155200,52473609,48874802,3598807,4324803,2882400,1442402,1442402,21559200,151659619,808800
adi_N1_700,120346807,8804600,0,2934400,71439209,66540602,4898607,5885603,3922800,1962802,1962802,29352400,206476219,1101099
adi_N1_800,157219207,11502400,0,3833600,93324809,86926402,6398407,7686403,5123200,2563202,2563202,38345600,269732819,1438400
adi_N1_900,199011607,14560200,0,4852800,118130409,110032202,8098207,9727203,6483600,3243602,3243602,48538800,341429419,1820699
adi_N1_1024,257667079,18851840,0,6283264,152944649,142460930,10483719,12591107,8392704,4198402,4198402,62844928,442054675,2357248
adi_N2_128,7990277,584192,0,194560,4747274,4420098,327176,395267,263167,132099,132099,1948672,13717010,73216
adi_N2_256,32102405,2348032,0,782336,19062794,17753090,1309704,1576963,1050623,526339,526339,7829504,55090194,293888
adi_N2_300,44114405,3226800,0,1075200,26193610,24394802,1798808,2164803,1442399,722403,722403,10759200,75699618,403798
adi_N2_400,78499205,5742400,0,1913600,46604810,43406402,3198408,3846403,2563199,1283203,1283203,19145600,134692818,718400
adi_N2_512,128692229,9414656,0,3137536,76398602,71157762,5240840,6299651,4198399,2101251,2101251,31387648,220805138,1177600
adi_N2_600,176788805,12933600,0,4310400,104947210,97749602,7197608,8649603,5764799,2884803,2884803,43118400,303319218,1617600
adi_N2_700,240693605,17609200,0,5868800,142878410,133081202,9797208,11771203,7845599,3925603,3925603,58704800,412952418,2202198
adi_N2_800,314438405,23004800,0,7667200,186649610,173852802,12796808,15372803,10246399,5126403,5126403,76691200,539465618,2876800
adi_N2_900,398023205,29120400,0,9705600,236260810,220064402,16196408,19454403,12967199,6487203,6487203,97077600,682858818,3641398
adi_N2_1024,515334149,37703680,0,12566528,305889290,284921858,20967432,25182211,16785407,8396803,8396803,125689856,884109330,4714496
adi_N4_64,3959809,289280,0,96256,2355212,2191874,163338,198659,132093,66565,66565,965632,6802960,36352
adi_N4_128,15980545,1168384,0,389120,9494540,8840194,654346,790531,526333,264197,264197,3897344,27434000,146432
adi_N4_256,64204801,4696064,0,1564672,38125580,35506178,2619402,3153923,2101245,1052677,1052677,15659008,110180368,587776
adi_N4_300,88228801,6453600,0,2150400,52387212,48789602,3597610,4329603,2884797,1444805,1444805,21518400,151399216,807596
adi_N4_400,156998401,11484800,0,3827200,93209612,86812802,6396810,7692803,5126397,2566405,2566405,38291200,269385616,1436800
adi_N4_512,257384449,18829312,0,6275072,152797196,142315522,10481674,12599299,8396797,4202501,4202501,62775296,441610256,2355200
adi_N4_600,353577601,25867200,0,8620800,209894412,195499202,14395210,17299203,11529597,5769605,5769605,86236800,606638416,3235200
adi_N4_700,481387201,35218400,0,11737600,285756812,266162402,19594410,23542403,15691197,7851205,7851205,117409600,825904816,4404396
adi_N4_800,628876801,46009600,0,15334400,373299212,347705602,25593610,30745603,20492797,10252805,10252805,153382400,1078931216,5753600
adi_N4_900,796046401,58240800,0,19411200,472521612,440128802,32392810,38908803,25934397,12974405,12974405,194155200,1365717616,7282796
adi_N4_1024,1030668289,75407360,0,25133056,611778572,569843714,41934858,50364419,33570813,16793605,16793605,251379712,1768218640,9428992
adi_N8_64,7919609,578560,0,192512,4710416,4383746,326670,397315,264185,133129,133129,1931264,13605900,72704
adi_N8_128,31961081,2336768,0,778240,18989072,17680386,1308686,1581059,1052665,528393,528393,7794688,54867980,292864
adi_N8_256,128409593,9392128,0,3129344,76251152,71012354,5238798,6307843,4202489,2105353,2105353,31318016,220360716,1175552
adi_N8_300,176457593,12907200,0,4300800,104774416,97579202,7195214,8659203,5769593,2889609,2889609,43036800,302798412,1615192
adi_N8_400,313996793,22969600,0,7654400,186419216,173625602,12793614,15385603,10252793,5132809,5132809,76582400,538771212,2873600
adi_N8_512,514768889,37658624,0,12550144,305594384,284631042,20963342,25198595,16793593,8405001,8405001,125550592,883220492,4710400
adi_N8_600,707155193,51734400,0,17241600,419788816,390998402,28790414,34598403,23059193,11539209,11539209,172473600,1213276812,6470400
adi_N8_700,962774393,70436800,0,23475200,571513616,532324802,39188814,47084803,31382393,15702409,15702409,234819200,1651809612,8808792
adi_N8_800,1257753593,92019200,0,30668800,746598416,695411202,51187214,61491203,40985593,20505609,20505609,306764800,2157862412,11507200
adi_N8_900,1592092793,116481600,0,38822400,945043216,880257602,64785614,77817603,51868793,25948809,25948809,388310400,2731435212,14565592
adi_N8_1024,2061336569,150814720,0,50266112,1223557136,1139687426,83869710,100728835,67141625,33587209,33587209,502759424,3536437260,18857984
adi_N16_32,3889129,283648,0,94208,2318360,2155522,162838,200707,133105,67601,67601,948224,6691844,35840
adi_N16_64,15839209,1157120,0,385024,9420824,8767490,653334,794627,528369,266257,266257,3862528,27211780,145408
adi_N16_128,63922153,4673536,0,1556480,37978136,35360770,2617366,3162115,2105329,1056785,1056785,15589376,109735940,585728
adi_N16_256,256819177,18784256,0,6258688,152502296,142024706,10477590,12615683,8404977,4210705,4210705,62636032,440721412,2351104
adi_N16_300,352915177,25814400,0,8601600,209548824,195158402,14390422,17318403,11539185,5779217,5779217,86073600,605596804,3230384
adi_N16_400,627993577,45939200,0,15308800,372838424,347251202,25587222,30771203,20505585,10265617,10265617,153164800,1077542404,5747200
adi_N16_512,1029537769,75317248,0,25100288,611188760,569262082,41926678,50397187,33587185,16810001,16810001,251101184,1766440964,9420800
adi_N16_600,1414310377,103468800,0,34483200,839577624,781996802,57580822,69196803,46118385,23078417,23078417,344947200,2426553604,12940800
adi_N16_700,1925548777,140873600,0,46950400,1143027224,1064649602,78377622,94169603,62764785,31404817,31404817,469638400,3303619204,17617584
adi_N16_800,2515507177,184038400,0,61337600,1493196824,1390822402,102374422,122982403,81971185,41011217,41011217,613529600,4315724804,23014400
adi_N16_900,3184185577,232963200,0,77644800,1890086424,1760515202,129571222,155635203,103737585,51897617,51897617,776620800,5462870404,29131184
adi_N16_1024,4122673129,301629440,0,100532224,2447114264,2279374850,167739414,201457667,134283249,67174417,67174417,1005518848,7072874500,37715968
adi_N32_32,7778249,567296,0,188416,4636712,4311042,325670,401411,266209,135201,135201,1896448,13383668,71680
adi_N32_64,31678409,2314240,0,770048,18841640,17534978,1306662,1589251,1056737,532513,532513,7725056,54423540,290816
adi_N32_128,127844297,9347072,0,3112960,75956264,70721538,5234726,6324227,4210657,2113569,2113569,31178752,219471860,1171456
adi_N32_256,513638345,37568512,0,12517376,305004584,284049410,20955174,25231363,16809953,8421409,8421409,125272064,881442804,4702208
adi_N32_300,705830345,51628800,0,17203200,419097640,390316802,28780838,34636803,23078369,11558433,11558433,172147200,1211193588,6460768
adi_N32_400,1255987145,91878400,0,30617600,745676840,694502402,51174438,61542403,41011169,20531233,20531233,306329600,2155084788,11494400
adi_N32_512,2059075529,150634496,0,50200576,1222377512,1138524162,83853350,100794371,67174369,33620001,33620001,502202368,3532881908,18841600
adi_N32_600,2828620745,206937600,0,68966400,1679155240,1563993602,115161638,138393603,92236769,46156833,46156833,689894400,4853107188,25881600
adi_N32_700,3851097545,281747200,0,93900800,2286054440,2129299202,156755238,188339203,125529569,62809633,62809633,939276800,6607238388,35235168
adi_N32_800,5031014345,368076800,0,122675200,2986393640,2781644802,204748838,245964803,163942369,82022433,82022433,1227059200,8631449588,46028800
adi_N32_900,6368371145,465926400,0,155289600,3780172840,3521030402,259142438,311270403,207475169,103795233,103795233,1553241600,10925740788,58262368
adi_N32_1024,8245346249,603258880,0,201064448,4894228520,4558749698,335478822,402915331,268566497,134348833,134348833,2011037696,14145748980,75431936
adi_N64_16,3747721,272384,0,90112,2244680,2082818,161862,204803,135105,69697,69697,913408,6469588,33792
adi_N64_32,15556489,1134592,0,376832,9273416,8622082,651334,802819,532417,270401,270401,3792896,26767316,143360
adi_N64_64,63356809,4628480,0,1540096,37683272,35069954,2613318,3178499,2113473,1065025,1065025,15450112,108847060,581632
adi_N64_128,255688585,18694144,0,6225920,151912520,141443074,10469446,12648451,8421313,4227137,4227137,62357504,438943700,2342912
adi_N64_256,1027276681,75137024,0,25034752,610009160,568098818,41910342,50462723,33619905,16842817,16842817,250544128,1762885588,9404416
adi_N64_300,1411660681,103257600,0,34406400,838195272,780633602,57561670,69273603,46156737,23116865,23116865,344294400,2422387156,12921536
adi_N64_400,2511974281,183756800,0,61235200,1491353672,1389004802,102348870,123084803,82022337,41062465,41062465,612659200,4310169556,22988800
adi_N64_512,4118151049,301268992,0,100401152,2444755016,2277048322,167706694,201588739,134348737,67240001,67240001,1004404736,7065763796,37683200
adi_N64_600,5657241481,413875200,0,137932800,3358310472,3127987202,230323270,276787203,184473537,92313665,92313665,1379788800,9706214356,51763200
adi_N64_700,7702195081,563494400,0,187801600,4572108872,4258598402,313510470,376678403,251059137,125619265,125619265,1878553600,13214476756,70470336
adi_N64_800,10062028681,736153600,0,245350400,5972787272,5563289602,409497670,491929603,327884737,164044865,164044865,2454118400,17262899156,92057600
adi_N64_900,12736742281,931852800,0,310579200,7560345672,7042060802,518284870,622540803,414950337,207590465,207590465,3106483200,21851481556,116524736
adi_N64_1024,16490692489,1206517760,0,402128896,9788457032,9117499394,670957638,805830659,537132993,268697665,268697665,4022075392,28291497940,150863872
adi_N128_16,7495433,544768,0,180224,4489352,4165634,323718,409603,270209,139393,139393,1826816,12939156,67584
adi_N128_32,31112969,2269184,0,753664,18546824,17244162,1302662,1605635,1064833,540801,540801,7585792,53534612,286720
adi_N128_64,126713609,9256960,0,3080192,75366536,70139906,5226630,6356995,4226945,2130049,2130049,30900224,217694100,1163264
adi_N128_128,511377161,37388288,0,12451840,303825032,282886146,20938886,25296899,16842625,8454273,8454273,124715008,877887380,4685824
adi_N128_256,2054553353,150274048,0,50069504,1220018312,1136197634,83820678,100925443,67239809,33685633,33685633,501088256,3525771156,18808832
adi_N128_300,2823321353,206515200,0,68812800,1676390536,1561267202,115123334,138547203,92313473,46233729,46233729,688588800,4844774292,25843072
adi_N128_400,5023948553,367513600,0,122470400,2982707336,2778009602,204697734,246169603,164044673,82124929,82124929,1225318400,8620339092,45977600
adi_N128_512,8236302089,602537984,0,200802304,4889510024,4554096642,335413382,403177475,268697473,134480001,134480001,2008809472,14131527572,75366400
adi_N128_600,11314482953,827750400,0,275865600,6716620936,6255974402,460646534,553574403,368947073,184627329,184627329,2759577600,19412428692,103526400
adi_N128_700,15404390153,1126988800,0,375603200,9144217736,8517196802,627020934,753356803,502118273,251238529,251238529,3757107200,26428953492,140940672
adi_N128_800,20124057353,1472307200,0,490700800,11945574536,11126579202,818995334,983859203,655769473,328089729,328089729,4908236800,34525798292,184115200
